ID,STATE,PARISH_NAME,ADDRESS,CITYSTATEZIP,WEBSITE,PRIEST,FOUNDED,MANAGER,PHONE,PHOTOURL,CITYSTATE
1,Illinois,"Annunciation - BVM","1840 Church Road","Aurora, IL 60505",http://www.annunciationchurchbvm.org/,"Rev. Patrick Gillmeyer","October 2002","Trish Theriault","(630) 236 -1317",bvm.jpg,"Aurora, IL"
2,Illinois,"Holy Cross","2300 Main Street","Batavia, IL 60510",http://www.holycross-batavia.org,"Msgr. Aaron Brodeski","May 2009","Sally Studlo","(630) 406 - 1244",holycross.jpg,"Batavia, IL"
3,Illinois,"St. Thomas the Apostle","1500 Brookdale Rd","Naperville, IL 60563",http://www.stapostle.org/,"Rev. Joel Fortier","February 2009","Molly Peterson","(630) 301 - 1696",stthomasnaperville.jpg,"Naperville, IL"
4,Illinois,"St. Patrick of Yorkville","406 Walnut Street","Yorkville, IL 60560",http://www.stpatrickyorkville.org/,"Rev. Matthew Lamoureux","May 2011","Rita Feltes","(630) 301 - 4365",stpats.jpg,"Yorkville, IL"
5,Indiana,"All Saints Parish","9995 E. Base Rd.","Greensburg, IN 47420",http://www.allsaintscatholic.net/,"Rev. Jonathon P. Meyer",NULL,"Debbie Yeager",Yeager849@hotmail.com,allsaintsin.jpg,"Greensburg, IN"
6,Indiana,"Holy Spirit Church","10350 Glaser Way","Fishers, IN 46037",http://www.hspgeist.org/,"Rev. Phil Bowers","May 2010","Mary Deering","(317) 919 - 0848",holyspiritin.jpg,"Fishers, IN"
7,Indiana,"St. Alphonsus","1870 W Oak St.","Zionsville, IN 46077",http://www.zionsvillecatholic.com/,"Rev. Dennis O'Keeffe","May 2009","Virlee Weaver","(317) 910 - 8169",zionsville.jpg,"Zionsville, IN"
8,Indiana,"Immaculate Heart of Mary","5692 Central Ave","Indianapolis, IN 46220",http://ihmindy.org,"Rev. Bob Sims","November 2011","Bridget Bain","(317) 259 - 1694",imheartin.jpg,"Indianapolis, IN"
9,Indiana,"St. Luke","7575 Holidat Dr East","Indianapolis, IN 46260",http://www.stluke.org/marys-way,"Msgr. Joseph Schaedel","May 2005","Teresa Schutzman","(317) 439 - 1836",stlukein.jpg,"Indianapolis, IN"
10,Indiana,"St. Joseph","1375 South Mickley Ave","Indianapolis, IN 46241",http://www.stjosephindy.org/,"Rev. Rob Hausladen","October 2013","Patti Arthur","(317) 339 - 6503",stjosephin.jpg,"Indianapolis, IN"
11,Indiana,"St. Malachy","9833 E. County Rd. 750 North","Brownsburg, IN 46112",http://www.stmalachy.org/article/marys-way/,"Rev. Joseph Fritz","January 2012","Nancy Sangl","(317) 852 - 9688",stmalachi.jpeg,"Brownsburg, IN"
12,Indiana,"St. Mark","5353 E. Edgewood Ave","Indianapolis, IN 46227",http://www.stmarkindy.org,"Rev. George Plaster","May 2009","Mary Horty","(317) 371 - 2107",stmarksin.JPG,"Indianapolis, IN"
13,Indiana,"Our Lady of Mt Carmel","14598 Oak Ridge Road","Carmel, IN 46032",http://www.olmc1.org/,"Rev. Richard Doerr","May 2010","Kimmie Hamilton","(317) 457 - 6865",olomcin.jpg,"Carmel, IN"
14,Indiana,"St. Jude Catholic Church","5353 McFarland Road","Indianapolis, IN 46227",http://www.stjudeindy.org/,"Fr. Steve Banet","May 2016","Pat Rapp","(317) 796 - 7790",stjudein.jpg,"Indianapolis, IN"
15,Ohio,"Immaculate Conception Church","37932 Euclid Avenue","Willoughby, OH 44094",http://immaculate.net/,"Fr. Timothy Kalista","May 2016","Michelle Gordan","(440) 510 - 8480",icohio.jpg,"Willoughby, OH"
16,"North Carolina","St. Mark's Catholic Church","14740 Stumptown Rd","Huntersville, NC 28078",https://www.stmarknc.org/,"Fr. John Putnam","May 2016","Ann Winkle","(630) 728 - 6099",stmarkmary.jpg,"Huntersville, NC"
